customer_id,review_id,product_id,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,year,month
21879631,RY52KZABZK8QF,B0052G14E8,1,0,0,N,Y,Do not recommend it. go use your money for something more ..., button stop work month use it use twice day do recommend go use money something durable oh also big plate fit,2015-08-31,2015,8
14964566,R3GCOEV4HYZG2I,B0055UBB4O,5,0,0,N,Y,Looks as good as the picture, did n't use long ca n't attest price extremely good look feel like quality build just know 's small nuke turkey 's super high wattage may take bit longer so must soup 2-1/2 minute wo n't work,2015-08-31,2015,8
13230389,R1V2OPPNL0QGCE,B0052G14E8,4,0,0,N,Y,Four Stars, very nice microwave great price,2015-08-31,2015,8
43655888,R9Q0QDTLKV567,B004ZU09QQ,3,0,1,N,Y,quiet, quiet seem like watt power,2015-08-31,2015,8
117794,R3DL7HYC3QTWNI,B005GSZB7I,4,0,0,N,Y,Four Stars, it 's big think,2015-08-31,2015,8
16018452,R3M88678ZYC6WI,B004ZU09QQ,5,0,0,N,Y,Great Microwave, really love microwave has one touch setting want along second button its great size countertop it little noisy beep others say,2015-08-31,2015,8
50761053,R2G20T7N6L3HO1,B001QFYDSI,1,0,0,N,N,Stopped working after 2 years, we buy microwave year ago part home remodel it great work recently stop work sharp warranty year for amount money spend would expect last year,2015-08-30,2015,8
21924164,R29F0E6EJJCEEM,B004ZUWBVW,4,0,0,N,Y,Was pleased with the packaging and easy instructions to set it ..., was please packaging easy instruction set worth 'prime order,2015-08-29,2015,8
18672427,R1WU4A3QFKJ0HT,B0052G14E8,5,0,0,N,Y,Great Value for the Money., neat little unit complaint,2015-08-29,2015,8
3159360,R2Q061UH1EJHIJ,B007V7G5TU,2,1,1,N,Y,It had great reviews when we ordered it, the finish nice match stainless steel/black wall oven nicely however button open door longer open first try need help and occasionally something internal microwave make noise tray rotate,2015-08-28,2015,8
12458936,R2F0TUS62C3ZCN,B0052G14E8,5,0,0,N,Y,Great little microwave!, excellent small microwave recently move apartment built-in microwave also kitchen n't big this microwave perfect its footprint small however pack punch all plate fit cook everything evenly the downside open close door whole microwave sometimes may move 's heavy 'm go fault simply put hand top opening/closing,2015-08-28,2015,8
39416583,R2X9MN0B0MVUZT,B0052G14E8,4,0,0,N,Y,Four Stars, works really well,2015-08-27,2015,8
31487975,R35P4D0NHKAGKE,B005GSZB9Q,5,1,1,N,Y,Five Stars, love microwave gives space kitchen ..only con price,2015-08-27,2015,8
26976013,R2V6PXBBC9ZPKZ,B004NXUJ60,3,0,1,N,Y,I never used this for my wife insisted we buy ..., never use wife insist buy new microwave buy contact ge give credit say worry paint peel tell wife that ok read review make sound alittle difficult use,2015-08-27,2015,8
43393377,R1MTXPHNTE0OEM,B007XZ8FNO,1,3,3,N,N,"This device needs to be recalled, deaths are going to occur.", we currently third microwave lg the first microwave fail week it take week lg get u new microwave the next microwave last month it go thanksgiving buy brand microwave work perfectly last month the lg fail month lowes home depot replace microwave reading blog never brand microwave fail often go take lg court they know major problem many failure yet continue produce worthless piece junk this appear another bean counter situation cheap give new machine fix damage recall product,2015-08-26,2015,8
51425093,RR48906IDDC7R,B00NXRHIO8,5,1,1,N,Y,... for about a week and so far it's been great; the microwaving powder is quite strong, had week far 's great microwaving powder quite strong grill plate high bulky food would complain,2015-08-25,2015,8
46888195,R3BRGLMPYWFS2N,B00NQFSSWS,1,5,7,N,Y,I only got to use the grill feature once and it was fun., microwave turntable light would come sometimes close door at first able cook microwave eventually get could n't get cook matter try unplug would sit rotate heat so sadly send back get use grill feature fun,2015-08-25,2015,8
7686469,R1FB7BN6Z0L3XO,B005GSZB9Q,5,1,2,N,Y,This is a funny story., this funny story .years ago husband find one cube microwave garage sale it perfect daughter extremely small kitchen little counter space etc recently move old home new home lot charm little counter space no room range microwave my new little whirlpool cube fit perfectly corner space new little kitchen love love love .however would easy price pocket book lol,2015-08-24,2015,8
46694531,R3U4EMQXXN5ZWA,B008MD2RH6,4,0,0,N,Y,Love to nuke, good price continue work well since december month my recent complaint glass carousel longer seem fit tightly plastic gear center it therefore make rattle sound gear turn n't see could cause loose fit nevertheless carousel turn quietly. br br otherwise great buy it still easy clean love use setting one-touch cooking time minute really like able turn microwave second simply touch start one time some people complain door hard open large open button push entire microwave move experience seldom use programmed setting vegetable popcorn potato etc bad experience burn minibag popcorn microwave n't sense need stop cooking however 's fine bake potato. br br understand benefit rather extreme concave back interior contribute cu ft interior volume but size right regardless certainly best buy amazon purpose,2015-08-24,2015,8
20673186,RCFH27W77OTPH,B004ZU09QQ,4,0,0,N,Y,this is a great product. The size is perfect and it works ..., although slide open door great product the size perfect work great. br br because kitchen design cant push microwave wall if microwave slide,2015-08-24,2015,8
16397097,R2R63T6FP7G9JL,B0055UBB4O,4,0,0,N,Y,Four Stars, solid microwave good price,2015-08-24,2015,8
12457810,RLQM6VC4WYV08,B007XZ8FNO,1,1,1,N,N,No timer, this microwave every button world except simple timer we use microwave timer everything it 's stupid microwave expensive n't include basic kitchen timer,2015-08-24,2015,8
14228362,R3YSEIBEK0XYT,B00DUZ8LBW,5,0,0,N,Y,"Timely delivery, good product.", prompt delivery microwave back running,2015-08-24,2015,8
42678211,R9HXJK5NX9IPY,B007V7G5TU,5,0,0,N,Y,Five Stars, attractive useful mircorwave,2015-08-24,2015,8
14546777,R14FJ9TGHJN8X8,B005GSZB9Q,5,0,0,N,Y,Whirlpool WMC20005YW 0.5 cubic ft. microwave white, although hold nice size dish love control bottom counter space limit peer would great dorm room,2015-08-23,2015,8
13560534,R36FKD0RA85LD2,B004ZU09QQ,3,1,2,N,Y,Danby 1.1 cuft microwave good unit, unit light expect cooks expect door latch hard push hard enough move unit open light come unit run door open buttons convenient cooking read direction difference set power level microwave went unit due review size price,2015-08-21,2015,8
1316798,RV08WAK7KQ5C8,B00NG0FP7E,5,1,2,N,Y,Five Stars, extremly satisfy,2015-08-21,2015,8
16996448,RUMJPRPFJFIZ2,B004NXUJ60,5,0,0,N,Y,Worked well on Sharp Carousel II, worked well old sharp carousel ii microwave enough coat first make sure sand prime rust spot wo n't show,2015-08-20,2015,8
42040790,R29HSQ1GJXRRXH,B007V7G5TU,5,0,0,N,Y,Great purchase. The microwave does the job and was ..., great purchase the microwave job great price,2015-08-20,2015,8
19768842,RRO2C7LNHYSSL,B004NXUJ60,5,0,0,N,Y,Five Stars, excellent result,2015-08-20,2015,8
36581725,ROKWTKVHCUN0D,B0052G51AQ,5,0,0,N,Y,Five Stars, works great product describer deliver promptly time,2015-08-20,2015,8
9939829,R23IP4R4VPCU7W,B005GSZB3M,5,2,2,N,Y,Truckers Mucrowave, perfect semi truck watt run on1000 watt inverter,2015-08-20,2015,8
38328350,R3ALDVS4RB8YJD,B0052G51AQ,4,47,53,N,Y,Gap on the top right, receive mine 's run see interior light shin gap top corner not sure normal safe 've submit question for 'll give star review look slightly annoy bang door make close pending heating answer question 'll update 'm attach picture gap. br br update 9/26/2015 well gap n't seem normal feature n't seem affect operation microwave oven way mostly use heat leftover work great purpose try serious cooking the loud door far tolerable us barely noticeable updating review star wo n't five gap,2015-08-19,2015,8
30384634,R7LFUNGK7ZW6L,B004NXUJ60,5,0,0,N,Y,Five Stars, works well proper preparation,2015-08-19,2015,8
33685362,RYUZHTA87W6I9,B003KI1W3I,3,0,1,N,N,I'm an IDIOT, give three star in order get message on-to page must rate product well first more-than-likely last attempt rate product receive older sharp model r-410lw it longer ever list sharps page repair oem well guess order rmotda252wrzz however my burn sharp motor rmotda264wrzz 'm think rpm three 60hz v 2w 'll maybe lose money part one wish stupid know,2015-08-19,2015,8
47830216,R2UQX5X29O3ICI,B0055UBB4O,4,0,0,N,Y,But it fits where we wanted it just perfect and we like the looks, we order boat rebuild real sure go work yet but fit want perfect like look that tell present time terry,2015-08-19,2015,8
34078104,R3MSBQ3L6OIFIP,B003KI1W3I,5,0,0,N,Y,Five Stars, good,2015-08-18,2015,8
52830657,RPR2PCYD8LDEM,B004ZU09QQ,4,0,0,N,Y,It's pretty powerful. It looks as if there are many ..., needed one hurry teen buy it 's pretty powerful it look many brand actually machine,2015-08-18,2015,8
48862363,R17Z5LA3XNPOSX,B00EU7AMX4,5,0,1,N,Y,What a great unit! Took some fiddling to install but the ..., what great unit took fiddling install unit really nice,2015-08-18,2015,8
13408354,R1V1MIFZU32A97,B005GSZB7I,5,3,3,N,Y,The fabuous whirlpool mini!, find small blue cube micro wave year ago after year service finally wear love cube shape take risk order little gem could n't happy it great size outside fabulous power last microwave would hesitate purchase totally worth price,2015-08-18,2015,8
43476708,R33HSAVWTVNLG6,B00NG0FP7E,5,0,1,N,Y,Five Stars, love lg product got product timely manner,2015-08-18,2015,8
43776930,R37VRG2JRLUORR,B0055UBB4O,3,2,2,N,Y,"Nothing special, but fits the bill.", works well enough purpose just right size dig touch feature second start minute number button it 's also good removable glass rotator thingy what bring star count button size – super tiny handle while microwave nice light door seal well n't make good combination open door so hold one side apply opposite pressure open door think could solve super rubber foot n't add,2015-08-17,2015,8
2200793,R1UFH7URKHIN3E,B0055UBB4O,1,1,1,N,Y,Received defected item, came brand new package item n't work,2015-08-17,2015,8
