,customer_id,review_id,product_id,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_body,review_date,year,month
0,1364,870,28,1,0,0,2,1,0.2,494265600000.0,2015,8
1,1160,395,13,5,0,0,2,1,0.17866666666666664,494265600000.0,2015,8
2,51,1402,28,4,0,0,2,1,0.79,494265600000.0,2015,8
3,144,685,16,3,0,1,2,1,0.0,494265600000.0,2015,8
4,623,761,2,4,0,0,2,1,0.0,494265600000.0,2015,8
5,620,672,16,5,0,0,2,1,0.278125,494265600000.0,2015,8
6,690,1035,21,1,0,0,2,2,0.16875,494179200000.0,2015,8
7,492,1610,76,4,0,0,2,1,0.3666666666666667,494092800000.0,2015,8
8,574,1086,28,5,0,0,2,1,-0.24375,494092800000.0,2015,8
9,1053,990,54,2,1,1,2,1,0.20625,494006400000.0,2015,8
10,1385,9,28,5,0,0,2,1,0.20000000000000004,494006400000.0,2015,8
11,939,1342,28,4,0,0,2,1,0.2,493920000000.0,2015,8
12,1185,1406,20,5,1,1,2,1,0.5,493920000000.0,2015,8
13,1549,866,79,3,0,1,2,1,0.1340909090909091,493920000000.0,2015,8
14,63,617,78,1,3,3,2,2,-0.07542929292929296,493833600000.0,2015,8
15,776,1525,8,5,1,1,2,1,0.3733333333333333,493747200000.0,2015,8
16,1045,664,29,1,5,7,2,1,0.15833333333333333,493747200000.0,2015,8
17,493,122,20,5,1,2,2,1,0.2574960127591706,493660800000.0,2015,8
18,21,554,30,4,0,0,2,1,0.1670519136036378,493660800000.0,2015,8
19,920,714,16,4,0,0,2,1,0.65,493660800000.0,2015,8
20,948,756,13,4,0,0,2,1,0.35,493660800000.0,2015,8
21,1158,577,78,1,1,1,2,2,-0.32499999999999996,493660800000.0,2015,8
22,1379,743,57,5,0,0,2,1,0.0,493660800000.0,2015,8
23,1175,739,54,5,0,0,2,1,0.55,493660800000.0,2015,8
24,1161,432,20,5,0,0,2,1,0.6333333333333334,493574400000.0,2015,8
25,566,1229,16,3,1,2,2,1,0.011458333333333334,493401600000.0,2015,8
26,1174,910,23,5,1,2,2,1,0.0,493401600000.0,2015,8
27,1210,993,79,5,0,0,2,1,0.145,493315200000.0,2015,8
28,1490,1056,54,5,0,0,2,1,0.8,493315200000.0,2015,8
29,317,402,79,5,0,0,2,1,1.0,493315200000.0,2015,8
30,866,318,44,5,0,0,2,1,0.8,493315200000.0,2015,8
31,590,115,32,5,2,2,2,1,1.0,493315200000.0,2015,8
32,1195,455,44,4,47,53,2,1,0.19230769230769226,493228800000.0,2015,8
33,96,935,79,5,0,0,2,1,0.0,493228800000.0,2015,8
34,1574,324,58,3,0,1,2,2,-0.10555555555555556,493228800000.0,2015,8
35,1033,1243,13,4,0,0,2,1,0.5375,493228800000.0,2015,8
36,1471,1177,58,5,0,0,2,1,0.7,493142400000.0,2015,8
37,88,1545,16,4,0,0,2,1,0.21000000000000002,493142400000.0,2015,8
38,1024,1297,39,5,0,1,2,1,0.7,493142400000.0,2015,8
39,1212,1398,2,5,3,3,2,1,0.21477272727272725,493142400000.0,2015,8
40,364,1571,23,5,0,1,2,1,0.5,493142400000.0,2015,8
41,1383,1534,13,3,2,2,2,1,0.2578754578754579,493056000000.0,2015,8
42,1036,1057,13,1,1,1,2,1,0.13636363636363635,493056000000.0,2015,8
43,960,578,44,5,0,1,2,1,0.4,492969600000.0,2015,8
44,83,1333,13,5,0,0,2,1,0.0,492883200000.0,2015,8
45,1374,216,14,4,0,0,2,2,0.3602380952380952,492883200000.0,2015,8
46,931,195,39,1,6,9,2,1,0.16458333333333333,492883200000.0,2015,8
47,221,257,0,5,0,0,2,2,0.39999999999999997,492710400000.0,2015,8
48,1226,851,49,5,1,1,2,1,0.2150793650793651,492710400000.0,2015,8
49,1255,627,23,5,3,4,2,1,0.3888888888888889,492710400000.0,2015,8
50,68,503,54,1,0,0,2,1,-0.2128787878787879,492624000000.0,2015,8
51,1573,1117,23,5,0,1,2,1,0.43333333333333335,492624000000.0,2015,8
52,1259,1194,13,4,0,1,2,2,0.13113636363636366,492537600000.0,2015,8
53,401,454,74,5,2,3,2,1,0.25833333333333336,492537600000.0,2015,8
54,391,681,62,1,6,6,2,2,-0.07708333333333334,492451200000.0,2015,8
55,59,1014,77,5,0,0,2,1,0.296969696969697,492451200000.0,2015,8
56,1424,960,48,5,0,0,2,1,0.5,492364800000.0,2015,8
57,826,1021,21,5,0,0,2,1,0.11243042671614101,492364800000.0,2015,8
58,673,1131,30,2,4,4,2,1,0.20833333333333334,492364800000.0,2015,8
59,542,619,44,2,2,3,2,1,-0.04899999999999999,492364800000.0,2015,8
60,427,1054,13,4,0,1,2,1,0.4875,492364800000.0,2015,8
61,160,1227,17,5,0,1,2,1,1.0,492364800000.0,2015,8
62,512,1294,54,3,0,0,2,1,-0.17083333333333334,492278400000.0,2015,8
63,837,640,28,5,0,0,2,1,0.9099999999999999,492192000000.0,2015,8
64,1234,929,20,5,0,0,2,1,0.24404761904761907,492105600000.0,2015,8
65,553,129,76,5,0,0,2,1,0.31119047619047624,492105600000.0,2015,8
66,502,1543,79,4,2,2,2,1,0.2833333333333333,492019200000.0,2015,8
67,1117,209,29,5,2,2,2,1,0.7166666666666668,492019200000.0,2015,8
68,1238,365,13,4,0,0,2,1,0.3,492019200000.0,2015,8
69,1307,1049,32,5,0,0,2,1,0.5625,491932800000.0,2015,8
70,1152,703,54,5,0,0,2,1,0.303125,491932800000.0,2015,8
71,1126,588,49,1,4,6,2,2,-0.0214285714285714,491932800000.0,2015,8
72,1198,1146,77,5,0,0,2,1,0.7,491932800000.0,2015,8
73,842,1360,13,5,0,0,2,1,0.40625,491932800000.0,2015,8
74,472,1432,17,5,0,1,2,1,0.5555555555555556,491846400000.0,2015,8
75,1535,966,20,5,0,0,2,1,0.6999999999999998,491760000000.0,2015,8
76,632,1159,23,2,21,22,2,1,0.0134920634920635,491760000000.0,2015,8
77,541,911,44,4,0,0,2,1,0.0,491760000000.0,2015,8
78,113,219,29,5,0,0,2,1,0.8,491673600000.0,2015,8
79,511,182,54,5,0,0,2,1,0.48571428571428577,491673600000.0,2015,8
80,643,26,48,5,0,0,2,1,0.5,491673600000.0,2015,8
81,367,1425,54,4,0,0,2,1,0.3412698412698412,491673600000.0,2015,8
82,11,1283,39,5,2,2,2,1,0.2722222222222222,491673600000.0,2015,8
84,1220,358,28,4,0,1,2,1,0.27658730158730166,491587200000.0,2015,7
85,105,225,29,5,0,0,2,1,0.8,491587200000.0,2015,7
86,1273,1355,54,5,0,0,2,1,0.8,491500800000.0,2015,7
87,963,506,28,3,0,0,2,2,0.55,491500800000.0,2015,7
88,318,676,28,1,0,0,2,1,0.02500000000000001,491328000000.0,2015,7
89,536,1032,32,5,3,3,2,1,0.3027972027972028,491328000000.0,2015,7
90,905,508,13,4,0,0,2,1,0.20777777777777776,491241600000.0,2015,7
91,821,776,54,1,1,2,2,1,-0.25,491241600000.0,2015,7
92,1056,903,23,4,11,14,2,1,0.16385281385281386,491241600000.0,2015,7
93,873,377,32,4,0,0,2,1,0.4,491241600000.0,2015,7
94,1000,1509,62,2,4,4,2,2,-0.10666666666666669,491155200000.0,2015,7
95,1124,1372,28,5,0,0,2,1,0.4166666666666667,491155200000.0,2015,7
96,448,1572,32,5,0,0,2,1,0.37857142857142856,491068800000.0,2015,7
97,1292,68,57,5,0,0,2,1,0.55,491068800000.0,2015,7
98,280,850,13,1,2,2,2,1,-0.1,491068800000.0,2015,7
99,1480,98,54,3,0,0,2,1,-0.29166666666666663,491068800000.0,2015,7
100,410,217,29,5,11,12,2,1,0.340625,491068800000.0,2015,7
101,922,165,54,3,0,0,2,1,0.14421487603305783,490982400000.0,2015,7
102,202,339,44,4,0,0,2,1,0.19027777777777777,490982400000.0,2015,7
103,923,644,28,5,0,0,2,1,0.7,490982400000.0,2015,7
104,527,351,32,5,0,0,2,1,0.19851190476190475,490982400000.0,2015,7
105,1289,701,28,5,0,0,2,1,0.23214285714285715,490982400000.0,2015,7
106,411,1592,13,5,0,0,2,1,0.0,490896000000.0,2015,7
107,576,1124,13,4,0,0,2,1,0.2888888888888889,490896000000.0,2015,7
108,932,599,13,3,0,0,2,1,0.07500000000000001,490896000000.0,2015,7
109,1260,1421,20,5,0,0,2,1,0.3333333333333333,490896000000.0,2015,7
110,126,1083,13,5,0,0,2,1,0.3842857142857143,490896000000.0,2015,7
111,1568,1362,13,5,0,0,2,1,0.2240079365079365,490809600000.0,2015,7
112,82,185,44,4,0,0,2,1,0.5,490723200000.0,2015,7
113,1560,754,44,4,0,0,2,1,0.825,490723200000.0,2015,7
114,994,546,58,4,0,0,2,1,0.22878787878787882,490723200000.0,2015,7
115,1067,10,32,5,0,0,2,1,1.0,490723200000.0,2015,7
116,1086,1551,13,5,0,0,2,1,0.0,490723200000.0,2015,7
117,808,812,21,1,0,0,2,2,0.054201101928374656,490723200000.0,2015,7
118,507,368,44,4,0,0,2,1,0.1875,490550400000.0,2015,7
119,1418,157,54,4,0,0,2,1,-0.05448642266824086,490464000000.0,2015,7
120,1279,811,28,1,1,1,2,1,0.0,490464000000.0,2015,7
121,1076,1497,71,5,4,7,2,1,0.4000000000000001,490377600000.0,2015,7
122,120,898,8,5,3,5,2,1,0.08281250000000001,490377600000.0,2015,7
123,1264,1380,76,5,0,0,2,2,0.25,490377600000.0,2015,7
124,1225,688,16,5,0,0,2,1,0.19010416666666666,490377600000.0,2015,7
125,1122,891,13,5,0,0,2,1,0.215625,490291200000.0,2015,7
126,568,520,44,4,0,0,2,1,0.16380952380952382,490291200000.0,2015,7
127,414,1454,2,2,0,5,2,1,0.07499999999999998,490204800000.0,2015,7
128,1095,237,79,5,0,0,2,1,0.15,490118400000.0,2015,7
129,1162,1392,48,1,1,4,2,1,0.0,490118400000.0,2015,7
130,1360,777,28,4,0,0,2,1,0.05833333333333333,490118400000.0,2015,7
131,176,213,31,3,1,1,2,1,0.23367003367003367,489859200000.0,2015,7
132,1432,770,76,4,0,0,2,1,0.7,489686400000.0,2015,7
