,customer_id,review_id,product_id,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_body,review_date,year,month
0,3515,3037,452,5,0,0,1,0,0.8,494265600000.0,2015,8
1,11196,3013,246,4,0,0,1,0,0.15303030303030304,494265600000.0,2015,8
2,7258,8566,182,5,0,1,1,0,0.5,494265600000.0,2015,8
3,7870,11428,71,5,0,0,1,0,0.0,494265600000.0,2015,8
4,3047,11167,452,4,0,0,1,1,0.6,494265600000.0,2015,8
5,8848,2699,217,5,0,0,1,0,1.0,494265600000.0,2015,8
6,3864,6074,80,1,0,0,1,1,0.06204545454545455,494265600000.0,2015,8
7,5781,62,468,3,1,1,1,0,0.07142857142857142,494265600000.0,2015,8
8,5898,10541,335,5,0,0,1,0,1.0,494265600000.0,2015,8
9,40,7790,171,5,0,1,1,0,0.07500000000000001,494265600000.0,2015,8
10,6117,5774,468,5,0,0,1,1,0.2222222222222222,494179200000.0,2015,8
11,9989,6039,232,5,3,3,1,0,0.21388888888888888,494179200000.0,2015,8
12,9083,10568,486,3,0,0,1,0,0.08333333333333333,494179200000.0,2015,8
13,1130,11450,189,4,0,0,1,0,0.6,494179200000.0,2015,8
14,2559,9582,481,2,1,1,1,0,0.18363636363636365,494179200000.0,2015,8
15,7851,5601,156,5,0,0,1,0,0.0,494179200000.0,2015,8
16,9853,1196,132,5,0,1,1,0,-0.06666666666666665,494179200000.0,2015,8
17,10709,1510,289,4,0,1,1,0,0.3666666666666667,494179200000.0,2015,8
18,5218,2452,468,5,0,0,1,0,0.13636363636363635,494092800000.0,2015,8
19,1922,6084,236,5,0,0,1,0,1.0,494092800000.0,2015,8
20,5915,10702,339,5,0,0,1,0,0.2,494092800000.0,2015,8
21,6499,644,156,1,0,0,1,0,0.023611111111111128,494092800000.0,2015,8
22,2551,7832,275,5,0,0,1,0,0.41,494092800000.0,2015,8
23,713,200,452,5,0,0,1,0,0.08571022727272726,494092800000.0,2015,8
24,11157,2381,535,5,0,0,1,0,0.8,494092800000.0,2015,8
25,676,1360,468,5,0,0,1,0,0.1541666666666667,494092800000.0,2015,8
26,10815,10929,112,5,0,0,1,0,0.55,494092800000.0,2015,8
27,5962,3321,513,2,0,0,1,0,-0.25,494092800000.0,2015,8
28,9584,2241,123,5,0,0,0,1,0.3619047619047619,494006400000.0,2015,8
29,209,2731,37,3,0,0,1,0,0.4,494006400000.0,2015,8
30,9895,3551,335,5,0,0,1,0,0.2429166666666667,494006400000.0,2015,8
31,5040,1407,468,4,0,0,1,0,0.31203703703703706,494006400000.0,2015,8
32,990,2148,328,5,0,0,1,0,0.45833333333333337,494006400000.0,2015,8
33,771,6324,246,5,0,0,1,0,0.0861111111111111,494006400000.0,2015,8
34,7706,564,250,5,0,0,1,0,1.0,494006400000.0,2015,8
35,9465,103,198,5,0,0,1,0,0.8,494006400000.0,2015,8
36,452,3744,468,5,0,0,1,0,0.21666666666666667,493920000000.0,2015,8
37,6971,2385,189,5,0,0,1,0,0.37083333333333335,493920000000.0,2015,8
38,8757,9451,77,3,37,38,1,0,0.1817424242424242,493920000000.0,2015,8
39,1899,2495,275,5,0,0,1,0,0.43333333333333335,493920000000.0,2015,8
40,7251,10715,246,5,2,2,1,0,0.05598039215686274,493920000000.0,2015,8
41,2405,6730,460,5,0,0,1,0,0.15,493920000000.0,2015,8
43,7232,2803,335,5,0,1,1,0,0.30000000000000004,493920000000.0,2015,8
44,3846,4026,189,5,0,0,1,1,0.5555555555555556,493920000000.0,2015,8
45,6415,6625,198,5,0,0,1,0,0.1933333333333333,493920000000.0,2015,8
46,4192,8005,36,3,0,0,1,0,0.39999999999999997,493833600000.0,2015,8
47,10140,10219,78,1,0,0,1,0,-0.3,493833600000.0,2015,8
48,3742,1038,198,1,0,0,1,0,-0.4,493833600000.0,2015,8
49,6519,5337,171,5,0,0,1,0,0.3616666666666667,493833600000.0,2015,8
50,6467,166,452,3,0,0,1,0,-0.1,493833600000.0,2015,8
51,10541,6519,123,5,0,0,0,1,0.22307692307692303,493833600000.0,2015,8
52,9096,1856,33,5,0,0,1,0,0.26666666666666666,493833600000.0,2015,8
53,1729,2137,36,4,0,0,1,0,0.46458333333333335,493833600000.0,2015,8
54,8413,10977,132,5,0,0,1,0,0.8,493833600000.0,2015,8
55,7460,4692,217,2,1,1,1,0,0.0,493833600000.0,2015,8
56,7716,10774,117,5,0,0,1,0,0.5,493833600000.0,2015,8
57,6488,3232,299,3,0,0,1,0,0.12499999999999997,493833600000.0,2015,8
58,5092,5217,189,2,0,0,1,0,0.12916666666666665,493833600000.0,2015,8
59,6573,4317,467,4,0,0,1,0,0.07499999999999996,493747200000.0,2015,8
60,200,6385,281,5,0,0,1,1,0.10958333333333332,493747200000.0,2015,8
61,3863,3152,302,5,0,0,1,1,0.11454545454545455,493747200000.0,2015,8
62,6338,11020,171,5,0,0,1,0,0.22666666666666666,493747200000.0,2015,8
63,7878,10476,171,5,0,0,1,0,0.7,493747200000.0,2015,8
64,4500,10745,526,3,1,1,0,1,0.1115740740740741,493747200000.0,2015,8
65,7690,7663,468,4,0,0,1,0,0.26666666666666666,493747200000.0,2015,8
66,7671,401,286,1,0,0,1,0,0.0,493747200000.0,2015,8
67,5120,5151,132,4,2,2,1,0,0.15052083333333333,493660800000.0,2015,8
68,1273,3887,467,4,1,1,1,0,0.40296296296296297,493660800000.0,2015,8
69,11330,1857,289,5,0,1,1,0,0.25,493660800000.0,2015,8
70,10481,7626,132,5,0,0,1,0,0.06666666666666667,493660800000.0,2015,8
71,942,4776,171,5,0,0,1,0,0.28333333333333327,493660800000.0,2015,8
72,8150,5495,74,4,0,0,1,0,0.39999999999999997,493660800000.0,2015,8
73,2998,10932,535,2,1,1,1,0,0.65,493660800000.0,2015,8
74,7592,1913,281,3,0,0,1,0,-0.18888888888888888,493660800000.0,2015,8
75,2774,6571,499,4,0,0,1,0,0.7,493660800000.0,2015,8
76,7139,8898,331,5,13,16,1,0,0.13,493660800000.0,2015,8
77,10045,5089,74,5,0,0,1,0,0.3,493574400000.0,2015,8
78,174,6479,339,5,0,0,1,0,0.3,493574400000.0,2015,8
79,1466,7002,452,3,0,0,1,0,0.22222222222222224,493574400000.0,2015,8
80,1975,2134,452,1,1,2,1,1,0.2530555555555556,493574400000.0,2015,8
81,3711,6275,71,5,0,0,1,0,0.475,493574400000.0,2015,8
82,1962,1209,526,5,0,0,0,1,0.08497474747474747,493574400000.0,2015,8
83,4159,6439,452,3,0,0,1,0,-0.5,493574400000.0,2015,8
84,3169,4332,499,5,0,0,1,0,0.55,493574400000.0,2015,8
85,10399,5930,132,5,0,1,1,0,0.20916666666666667,493574400000.0,2015,8
86,768,10584,198,4,0,0,1,0,0.030000000000000006,493574400000.0,2015,8
87,2549,1426,347,5,0,0,1,0,0.7,493488000000.0,2015,8
88,3321,3082,470,4,0,0,1,0,0.06666666666666668,493488000000.0,2015,8
89,5423,6344,201,5,0,0,1,0,0.8,493488000000.0,2015,8
90,4601,74,467,5,0,0,1,0,0.6,493488000000.0,2015,8
91,3345,3963,58,3,0,0,1,0,0.3583333333333334,493488000000.0,2015,8
92,4189,7637,100,5,1,1,1,0,0.23026785714285714,493488000000.0,2015,8
93,4444,10363,533,1,2,2,1,0,0.0,493488000000.0,2015,8
94,2399,6449,508,5,0,0,1,0,1.0,493488000000.0,2015,8
